ticker,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl_dollars,pnl_pct,entry_pattern,exit_reason,confidence,hold_time_minutes,max_price,max_price_pct,capture_rate
EVTV,2026-01-12 08:55:00-05:00,2026-01-12 09:38:00-05:00,1.13,1.125,1000,1130.0,1125.0,-5.0,-0.4424778761061947,Strong_Bullish_Setup,Stop loss hit at $1.1300,85.0,43.0,1.31,15.929203539823025,-2.777777777777775
EVTV,2026-01-12 10:06:00-05:00,2026-01-12 10:34:00-05:00,1.275,1.555,1000,1275.0,1555.0,280.0,21.96078431372549,Strong_Bullish_Setup,Profit target reached at $1.5300,85.0,28.0,1.57,23.137254901960798,94.91525423728808
UP,2026-01-12 10:19:00-05:00,2026-01-12 12:17:00-05:00,0.9636,0.9689,1000,963.6,968.9,5.2999999999999545,0.5500207555002028,Volume_Breakout,Trend weakness detected,80.0,118.0,1.1,14.155251141552519,3.885630498533689
BDSX,2026-01-12 09:34:00-05:00,2026-01-12 09:54:00-05:00,7.25,8.88,1000,7250.0,8880.0,1630.0,22.482758620689655,Strong_Bullish_Setup,Profit target reached at $8.7000,85.0,20.0,9.08,25.24137931034483,89.0710382513661
