ticker,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl_dollars,pnl_pct,entry_pattern,exit_reason,confidence,hold_time_minutes,max_price,max_price_pct,capture_rate
UP,2026-01-12 09:36:00-05:00,2026-01-12 11:52:00-05:00,0.8989,1.02,500.0,449.45,510.0,60.55000000000001,13.472021359439317,Strong_Bullish_Setup,Trend weakness detected,85.0,136.0,1.1,22.371787740571815,60.218796618597715
UP,2026-01-12 14:10:00-05:00,2026-01-12 14:14:00-05:00,1.14,1.1,1000.0,1140.0,1100.0,-40.0,-3.508771929824561,Strong_Bullish_Setup,Stop loss hit at $1.1107,85.0,4.0,1.14,0.0,0.0
