ticker,time,price,volume,volume_ratio,momentum_5,momentum_10,entry_signal,pattern,confidence,in_entry_window
OM,2026-01-12 08:31:00-05:00,4.56,1,0,0.0,0.0,False,,0,True
OM,2026-01-12 08:34:00-05:00,5.13,3490,0,12.500000000000009,12.500000000000009,False,,0,True
OM,2026-01-12 08:35:00-05:00,5.67,35360,0,22.753842823121893,24.342105263157904,False,,0,True
OM,2026-01-12 08:36:00-05:00,5.3,143651,0,16.483516483516482,16.228070175438603,False,,0,True
OM,2026-01-12 08:37:00-05:00,5.37,111662,0,17.763157894736857,17.763157894736857,False,,0,True
OM,2026-01-12 08:38:00-05:00,5.44,99630,0,6.042884990253421,19.298245614035107,False,,0,True
OM,2026-01-12 08:39:00-05:00,5.41,82781,0,-4.585537918871249,18.640350877192997,False,,0,True
OM,2026-01-12 08:40:00-05:00,5.37,55760,0,1.3207547169811376,16.258930504438197,False,,0,True
OM,2026-01-12 09:00:00-05:00,5.95,90272,0,2.763385146804838,0.16835016835016475,False,,0,True
OM,2026-01-12 09:01:00-05:00,5.86,112433,0,5.776173285198561,1.0344827586206984,False,,0,True
OM,2026-01-12 09:02:00-05:00,5.76,49346,0,2.6737967914438405,-0.6896551724137937,False,,0,True
OM,2026-01-12 09:03:00-05:00,5.79,75242,0,0.6956521739130441,-0.8561643835616408,False,,0,True
OM,2026-01-12 09:04:00-05:00,5.73,31522,0,-3.6974789915966344,-1.0362694300518067,False,,0,True
OM,2026-01-12 09:05:00-05:00,5.95,116200,0,1.5358361774744003,2.763385146804838,False,,0,True
OM,2026-01-12 09:06:00-05:00,6.35,364693,0,10.243055555555554,14.62093862815884,False,,0,True
OM,2026-01-12 09:07:00-05:00,6.46,164651,0,11.571675302245248,15.151515151515143,False,,0,True
OM,2026-01-12 09:08:00-05:00,6.68,429338,0,16.579406631762637,16.173913043478255,False,,0,True
OM,2026-01-12 09:09:00-05:00,6.65,219995,0,11.764705882352944,11.764705882352944,False,,0,True
OM,2026-01-12 09:10:00-05:00,6.83,166196,0,7.559055118110243,16.55290102389078,False,,0,True
EVTV,2026-01-12 04:32:00-05:00,0.49,2472,0,7.127240926978579,7.174103237095363,False,,0,True
EVTV,2026-01-12 04:33:00-05:00,0.49,667,0,7.314936487078402,7.174103237095363,False,,0,True
SOGP,2026-01-12 04:43:00-05:00,12.9,3,0,10.256410256410266,9.137055837563453,False,,0,True
SOGP,2026-01-12 04:45:00-05:00,12.9,3,0,10.256410256410266,9.044801352493662,False,,0,True
SOGP,2026-01-12 04:49:00-05:00,12.9,57,0,10.256410256410266,8.585858585858581,False,,0,True
