ticker,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl_dollars,pnl_pct,entry_pattern,exit_reason,confidence,hold_time_minutes,max_price,max_price_pct,capture_rate
EVTV,2026-01-12 08:55:00-05:00,2026-01-12 10:40:00-05:00,1.13,1.61,0.00762939453125,0.0086212158203125,0.0122833251953125,0.003662109375,42.47787610619469,Strong_Bullish_Setup,Profit target reached at $1.3560,85.0,105.0,1.78,57.52212389380532,73.84615384615384
EVTV,2026-01-12 11:58:00-05:00,2026-01-12 12:56:00-05:00,1.53,1.405,1000.0,1530.0,1405.0,-125.0,-8.169934640522875,Volume_Breakout,Stop loss hit at $1.4076,80.0,58.0,1.65,7.843137254901953,-104.16666666666676
EVTV,2026-01-12 15:29:00-05:00,2026-01-12 17:18:00-05:00,2.12,3.16,2.7755575615628914e-14,5.88418203051333e-14,8.770761894538737e-14,2.886579864025407e-14,49.056603773584904,Volume_Breakout,Trend weakness detected,80.0,109.0,3.71,74.99999999999999,65.40880503144655
