timestamp,open,high,low,close,volume
2026-01-14 14:06:00-05:00,0.8044,0.8044,0.8044,0.8044,725
2026-01-14 14:12:00-05:00,0.8085,0.8085,0.8085,0.8085,140
2026-01-14 14:19:00-05:00,0.8081,0.8081,0.8081,0.8081,373
2026-01-14 14:20:00-05:00,0.8096,0.8199,0.8096,0.8199,400
2026-01-14 14:27:00-05:00,0.8016,0.8016,0.8016,0.8016,283
2026-01-14 14:41:00-05:00,0.8018,0.8023,0.8018,0.8023,569
2026-01-14 15:24:00-05:00,0.8199,0.8199,0.8199,0.8199,2000
2026-01-14 15:28:00-05:00,0.8125,0.82,0.8125,0.82,4900
2026-01-14 15:37:00-05:00,0.8125,0.8125,0.805,0.8125,2922
2026-01-14 15:46:00-05:00,0.8187,0.8199,0.8187,0.8199,9296
2026-01-14 15:47:00-05:00,0.8199,0.82,0.8199,0.82,4147
2026-01-14 15:49:00-05:00,0.8299,0.83,0.8213,0.8214,9531
2026-01-14 15:52:00-05:00,0.8112,0.8136,0.8111,0.8136,611
2026-01-14 15:53:00-05:00,0.8111,0.8205,0.8052,0.8052,1086
2026-01-14 15:54:00-05:00,0.8016,0.805,0.8014,0.8014,2694
2026-01-14 15:55:00-05:00,0.8006,0.8149,0.8006,0.8007,5189
2026-01-14 15:56:00-05:00,0.8006,0.8006,0.8006,0.8006,2000
2026-01-14 16:00:00-05:00,0.8151,0.827,0.8151,0.827,785
2026-01-14 16:02:00-05:00,0.848,0.8499,0.84,0.84,304
2026-01-14 16:03:00-05:00,0.84,0.855,0.84,0.855,355
2026-01-14 16:04:00-05:00,0.855,0.87,0.85,0.85,259
2026-01-14 16:05:00-05:00,0.8499,0.85,0.84,0.84,314
2026-01-14 16:06:00-05:00,0.85,0.85,0.85,0.85,7
2026-01-14 16:07:00-05:00,0.87,0.87,0.87,0.87,114
2026-01-14 16:08:00-05:00,0.87,0.87,0.8526,0.8526,342
2026-01-14 16:09:00-05:00,0.8526,0.8526,0.8526,0.8526,2470
2026-01-14 16:10:00-05:00,0.8501,0.8526,0.8501,0.8526,228
2026-01-14 16:11:00-05:00,0.85,0.85,0.84,0.84,300
2026-01-14 16:12:00-05:00,0.8399,0.84,0.8399,0.84,207
2026-01-14 16:13:00-05:00,0.8399,0.84,0.8397,0.84,125
2026-01-14 16:14:00-05:00,0.8399,0.84,0.8399,0.84,21
2026-01-14 16:19:00-05:00,0.84,0.864,0.84,0.864,107
2026-01-14 16:20:00-05:00,0.8526,0.8526,0.8526,0.8526,107
2026-01-14 16:21:00-05:00,0.8526,0.8526,0.8525,0.8526,6
2026-01-14 16:22:00-05:00,0.8526,0.8526,0.8526,0.8526,2
2026-01-14 16:23:00-05:00,0.8526,0.8526,0.8526,0.8526,1
2026-01-14 16:24:00-05:00,0.8525,0.8526,0.8525,0.8526,2
2026-01-14 16:26:00-05:00,0.83,0.8526,0.83,0.8526,1194
2026-01-14 16:35:00-05:00,0.83,0.83,0.83,0.83,100
2026-01-14 16:39:00-05:00,0.82,0.82,0.82,0.82,1000
