timestamp,open,high,low,close,volume
2025-11-03 09:38:00-05:00,1.485,1.485,1.485,1.485,595
2025-11-03 09:39:00-05:00,1.45,1.45,1.45,1.45,596
2025-11-03 09:40:00-05:00,1.47,1.495,1.47,1.495,866
2025-11-03 09:41:00-05:00,1.47,1.5,1.44,1.5,1294
2025-11-03 09:50:00-05:00,1.5,1.5,1.5,1.5,397
2025-11-03 10:04:00-05:00,1.54,1.54,1.54,1.54,175
2025-11-03 10:09:00-05:00,1.5,1.5,1.5,1.5,101
2025-11-03 10:10:00-05:00,1.5,1.5,1.485,1.485,1325
2025-11-03 10:12:00-05:00,1.5,1.5,1.5,1.5,1282
2025-11-03 10:14:00-05:00,1.51,1.51,1.51,1.51,580
2025-11-03 10:15:00-05:00,1.51,1.51,1.51,1.51,668
2025-11-03 10:17:00-05:00,1.47,1.47,1.45,1.45,3365
2025-11-03 10:20:00-05:00,1.45,1.47,1.45,1.47,2088
2025-11-03 10:21:00-05:00,1.47,1.47,1.47,1.47,839
2025-11-03 10:23:00-05:00,1.47,1.47,1.45,1.45,776
2025-11-03 10:24:00-05:00,1.465,1.465,1.465,1.465,199
2025-11-03 10:27:00-05:00,1.465,1.465,1.45,1.464,5890
2025-11-03 10:42:00-05:00,1.47,1.47,1.45,1.45,3345
2025-11-03 10:46:00-05:00,1.42,1.42,1.42,1.42,473
2025-11-03 10:57:00-05:00,1.46,1.46,1.46,1.46,805
2025-11-03 11:00:00-05:00,1.46,1.46,1.46,1.46,100
2025-11-03 11:15:00-05:00,1.49,1.49,1.49,1.49,327
2025-11-03 11:25:00-05:00,1.5,1.5,1.5,1.5,230
2025-11-03 11:30:00-05:00,1.5,1.5,1.5,1.5,390
2025-11-03 11:35:00-05:00,1.49,1.49,1.45,1.45,225
2025-11-03 11:38:00-05:00,1.457,1.457,1.457,1.457,100
2025-11-03 11:56:00-05:00,1.49,1.49,1.49,1.49,450
2025-11-03 12:07:00-05:00,1.49,1.49,1.49,1.49,245
2025-11-03 12:26:00-05:00,1.477,1.477,1.477,1.477,113
2025-11-03 12:31:00-05:00,1.49,1.49,1.48,1.48,669
2025-11-03 12:39:00-05:00,1.485,1.485,1.485,1.485,211
2025-11-03 12:45:00-05:00,1.49,1.49,1.49,1.49,100
2025-11-03 12:52:00-05:00,1.49,1.49,1.49,1.49,102
2025-11-03 13:03:00-05:00,1.49,1.49,1.49,1.49,201
2025-11-03 14:27:00-05:00,1.45,1.45,1.45,1.45,362
2025-11-03 14:45:00-05:00,1.44,1.44,1.44,1.44,409
2025-11-03 14:51:00-05:00,1.44,1.44,1.44,1.44,528
2025-11-03 14:54:00-05:00,1.43,1.43,1.43,1.43,675
2025-11-03 14:55:00-05:00,1.42,1.42,1.42,1.42,4808
2025-11-03 15:03:00-05:00,1.45,1.45,1.45,1.45,100
2025-11-03 15:15:00-05:00,1.45,1.455,1.45,1.455,319
2025-11-03 15:25:00-05:00,1.44,1.44,1.44,1.44,466
2025-11-03 15:56:00-05:00,1.44,1.44,1.44,1.44,378
