Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,Pattern,Score,Confidence,Exit_Reason,Hold_Time_Min,PnL_Pct,PnL_Dollar
ANPA,2026-01-09 08:30:00,50.37,2026-01-09 08:50:00,53.94,Volume_Breakout_Momentum,8,85.0%,Trailing Stop (7%),20.0,7.09%,$3.57
ANPA,2026-01-09 09:22:00,52.39,2026-01-09 09:45:00,50.75939999999999,Volume_Breakout_Momentum,8,85.0%,Trailing Stop (7%),23.0,-3.11%,$-1.63
ANPA,2026-01-09 10:09:00,53.5,2026-01-09 10:29:00,53.4843,Volume_Breakout_Momentum,8,85.0%,Trailing Stop (7%),20.0,-0.03%,$-0.02
ANPA,2026-01-09 10:56:00,52.86,2026-01-09 11:17:00,50.5,RSI_Accumulation_Entry,7,75.0%,Strong Reversal (3 signals),21.0,-4.46%,$-2.36
ANPA,2026-01-09 11:26:00,54.56,2026-01-09 11:56:00,65.472,Volume_Breakout_Momentum,8,85.0%,Profit Target (20%+),30.0,20.00%,$10.91
ANPA,2026-01-09 11:57:00,69.18,2026-01-09 12:17:00,67.89,Volume_Breakout_Momentum,8,85.0%,Trailing Stop (7%),20.0,-1.86%,$-1.29
ANPA,2026-01-09 12:48:00,63.23,2026-01-09 13:13:00,66.56,Golden_Cross_Volume,7,78.0%,Strong Reversal (3 signals),25.0,5.27%,$3.33
ANPA,2026-01-09 13:16:00,69.0,2026-01-09 13:38:00,82.0,RSI_Accumulation_Entry,7,75.0%,Strong Reversal (3 signals),22.0,18.84%,$13.00
ANPA,2026-01-09 14:15:00,95.0,2026-01-09 14:35:00,101.0724,Volume_Breakout_Momentum,8,85.0%,Trailing Stop (7%),20.0,6.39%,$6.07
